09221000|09220000|1|Petroleum jelly and waxes
09221100|09221000|0|Petroleum jelly
09221200|09221000|0|Paraffin wax
09221300|09221000|0|Petroleum wax
09221400|09221000|0|Petroleum residues
09222000|09220000|1|Special spirits
09222100|09222000|0|White spirit
09230000|09200000|0|Petroleum (crude)
09240000|09200000|1|Oil and coal-related products
09241000|09240000|0|Bituminous or oil shale
09242000|09240000|1|Coal-related products
09242100|09242000|0|Coal oil
09300000|09000000|1|Electricity, heating, solar and nuclear energy
09310000|09300000|0|Electricity
09320000|09300000|1|Steam, hot water and associated products
09321000|09320000|0|Hot water
09322000|09320000|0|Steam
09323000|09320000|0|District heating
09324000|09320000|0|Long-distance heating
09330000|09300000|1|Solar energy
09331000|09330000|1|Solar panels
09331100|09331000|0|Solar collectors for heat production
09331200|09331000|0|Solar photovoltaic modules
09332000|09330000|0|Solar installation
09340000|09300000|1|Nuclear fuels
09341000|09340000|0|Uranium
09342000|09340000|0|Plutonium
09343000|09340000|0|Radioactive materials
09344000|09340000|0|Radio-isotopes
14000000||1|Mining, basic metals and related products
14200000|14000000|1|Sand and clay
14210000|14200000|1|Gravel, sand, crushed stone and aggregates
14211000|14210000|1|Sand
14211100|14211000|0|Natural sand
14212000|14210000|1|Granules, chippings, stone powder, pebbles, gravel, broken and crushed stone, stone mixtures, sand-gravel mixtures and other aggregates
14212100|14212000|0|Pebbles and gravel
14212110|14212000|0|Pebbles
14212120|14212000|0|Gravel
14212200|14212000|0|Aggregates
14212210|14212000|0|Sand-gravel mix
14212300|14212000|0|Broken and crushed stone
14212310|14212000|0|Ballast
14212320|14212000|0|Crushed granite
14212330|14212000|0|Crushed basalt
14212400|14212000|0|Soil
14212410|14212000|0|Topsoil
14212420|14212000|0|Subsoil
14212430|14212000|0|Stone chippings
14213000|14210000|1|Macadam, tarmac and tar sands
14213100|14213000|0|Macadam
14213200|14213000|0|Tarmac
14213300|14213000|0|Tar sands
14220000|14200000|1|Clay and kaolin
14221000|14220000|0|Clay
14222000|14220000|0|Kaolin
14300000|14000000|1|Chemical and fertiliser minerals
14310000|14300000|1|Fertiliser minerals
14311000|14310000|1|Natural calcium, aluminium calcium phosphate and crude natural potassium salts
14311100|14311000|0|Natural calcium
14311200|14311000|0|Aluminium calcium phosphates
14311300|14311000|0|Crude natural potassium salts
14312000|14310000|1|Iron pyrites
14312100|14312000|0|Unroasted iron pyrites
14320000|14300000|0|Chemical minerals
14400000|14000000|1|Salt and pure sodium chloride
14410000|14400000|0|Rock salt
14420000|14400000|0|Sea salt
14430000|14400000|0|Evaporated salt and pure sodium chloride
14450000|14400000|0|Salt in brine
14500000|14000000|1|Related mining and quarrying products
14520000|14500000|1|Precious and semi-precious stones, pumice stone, emery, natural abrasives, other minerals and precious metals
14521000|14520000|1|Precious and semi-precious stones
14521100|14521000|0|Precious stones
14521140|14521000|0|Dust or powder of precious stones
14521200|14521000|0|Semi-precious stones
14521210|14521000|0|Dust or powder of semi-precious stones
14522000|14520000|1|Industrial diamonds, pumice stone, emery and other natural abrasives
14522100|14522000|0|Pumice stone
14522200|14522000|0|Industrial diamonds
14522300|14522000|0|Emery
14522400|14522000|0|Natural abrasives
14523000|14520000|1|Related minerals, precious metals and associated products
14523100|14523000|0|Minerals
14523200|14523000|0|Gold
14523300|14523000|0|Silver
14523400|14523000|0|Platinum
14600000|14000000|1|Metal ores and alloys
14610000|14600000|1|Metal ores
14611000|14610000|0|Iron ores
14612000|14610000|1|Non-ferrous metal ores
14612100|14612000|0|Copper ores
14612200|14612000|0|Nickel ores
14612300|14612000|0|Aluminium ores
14612400|14612000|0|Precious-metal ores
14612500|14612000|0|Lead ores
14612600|14612000|0|Zinc ores
14612700|14612000|0|Tin ores
14613000|14610000|1|Uranium and thorium ores
14613100|14613000|0|Uranium ores
14613200|14613000|0|Thorium ores
14614000|14610000|0|Miscellaneous ores
14620000|14600000|1|Alloys
14621000|14620000|1|Ferro-alloys
14621100|14621000|0|Non-ECSC ferro-alloys
14621110|14621000|0|Ferro-manganese
14621120|14621000|0|Ferro-chromium
14621130|14621000|0|Ferro-nickel
14622000|14620000|0|Steel
14630000|14600000|0|Slag, dross, ferrous waste and scrap
14700000|14000000|1|Basic metals
14710000|14700000|1|Iron, lead, zinc, tin and copper
14711000|14710000|1|Iron
14711100|14711000|0|Pig iron
14712000|14710000|0|Lead
14713000|14710000|0|Zinc
14714000|14710000|0|Tin
14715000|14710000|0|Copper
14720000|14700000|1|Aluminium, nickel, scandium, titanium and vanadium
14721000|14720000|1|Aluminium
14721100|14721000|0|Aluminium oxide
14722000|14720000|0|Nickel
14723000|14720000|0|Scandium
14724000|14720000|0|Titanium
14725000|14720000|0|Vanadium
14730000|14700000|1|Chromium, manganese, cobalt, yttrium and zirconium
14731000|14730000|0|Chromium
14732000|14730000|0|Manganese
14733000|14730000|0|Cobalt
14734000|14730000|0|Yttrium
14735000|14730000|0|Zirconium
14740000|14700000|1|Molybdenum, technetium, ruthenium and rhodium
14741000|14740000|0|Molybdenum
14742000|14740000|0|Technetium
14743000|14740000|0|Ruthenium
14744000|14740000|0|Rhodium
14750000|14700000|1|Cadmium, lutetium, hafnium, tantalum and tungsten
14751000|14750000|0|Cadmium
14752000|14750000|0|Lutetium
14753000|14750000|0|Hafnium
14754000|14750000|0|Tantalum
14755000|14750000|0|Tungsten
14760000|14700000|1|Iridium, gallium, indium, thallium and barium
14761000|14760000|0|Iridium
14762000|14760000|0|Gallium
14763000|14760000|0|Indium
14764000|14760000|0|Thallium
14765000|14760000|0|Barium
14770000|14700000|1|Caesium, strontium, rubidium and calcium
14771000|14770000|0|Caesium
14772000|14770000|0|Strontium
14773000|14770000|0|Rubidium
14774000|14770000|0|Calcium
14780000|14700000|1|Potassium, magnesium, sodium and lithium
14781000|14780000|0|Potassium
14782000|14780000|0|Magnesium
14783000|14780000|0|Sodium
14784000|14780000|0|Lithium
14790000|14700000|1|Niobium, osmium, rhenium and palladium
14791000|14790000|0|Niobium
14792000|14790000|0|Osmium
14793000|14790000|0|Rhenium
14794000|14790000|0|Palladium
14800000|14000000|1|Miscellaneous non-metallic mineral products
14810000|14800000|1|Abrasive products
14811000|14810000|1|Millstones, grindstones and grinding wheels
14811100|14811000|0|Millstones
14811200|14811000|0|Grindstones
14811300|14811000|0|Grinding wheels
14812000|14810000|0|Abrasive powder or grain
14813000|14810000|0|Artificial corundum
14814000|14810000|0|Artificial graphite
14820000|14800000|0|Glass
14830000|14800000|0|Fibreglass
14900000|14000000|1|Recovered secondary raw materials
14910000|14900000|0|Recovered secondary metal raw materials
14920000|14900000|0|Recovered secondary non-metal raw materials
14930000|14900000|0|Ash and residues containing metals
15000000||1|Food, beverages, tobacco and related products
15100000|15000000|1|Animal products, meat and meat products
15110000|15100000|1|Meat
15111000|15110000|1|Bovine meat
15111100|15111000|0|Beef
15111200|15111000|0|Veal
15112000|15110000|1|Poultry
15112100|15112000|0|Fresh poultry
15112110|15112000|0|Geese
15112120|15112000|0|Turkeys
15112130|15112000|0|Chickens
15112140|15112000|0|Ducks
15112300|15112000|0|Poultry livers
15112310|15112000|0|Foie gras
15113000|15110000|0|Pork
15114000|15110000|0|Offal
15115000|15110000|1|Lamb and mutton
15115100|15115000|0|Lamb
15115200|15115000|0|Mutton
15117000|15110000|0|Goat meat
15118000|15110000|1|Horse, ass, mule or hinny meat
15118100|15118000|0|Horsemeat
15118900|15118000|0|Ass, mule or hinny meat
15119000|15110000|1|Various meats
15119100|15119000|0|Rabbit meat
15119200|15119000|0|Hare meat
15119300|15119000|0|Game
15119400|15119000|0|Frogs' legs
15119500|15119000|0|Pigeons
15119600|15119000|0|Fish meat
15130000|15100000|1|Meat products
15131000|15130000|1|Meat preserves and preparations
15131100|15131000|0|Sausage-meat products
15131110|15131000|0|Sausage meat
15131120|15131000|0|Sausage products
15131130|15131000|0|Sausages
15131134|15131000|0|Black pudding and other blood sausages
15131135|15131000|0|Poultry sausages
15131200|15131000|0|Dried, salted, smoked or seasoned meat
15131210|15131000|0|Gammon
15131220|15131000|0|Bacon
15131230|15131000|0|Salami
15131300|15131000|0|Liver preparations
